requested_timestamp,symbol,name,error,datetime,open,high,low,close,volume,query_timestamp
2025-11-18 01:46 UTC,GC=F,Gold Futures (GC=F),,2025-11-18 01:46 UTC,4031.89990234375,4032.199951171875,4030.5,4031.300048828125,70,2025-11-18 01:46
2025-11-18 01:47 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-18 01:47 UTC,,,,,,,2025-11-18 01:47
2025-11-18 01:47 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-18 01:47 UTC,,,,,,,2025-11-18 01:47
2025-11-18 01:47 UTC,GC=F,Gold Futures (GC=F),,2025-11-18 01:47 UTC,4031.60009765625,4031.699951171875,4029.800048828125,4030.300048828125,82,2025-11-18 01:47
2025-11-18 01:48 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-18 01:48 UTC,,,,,,,2025-11-18 01:48
2025-11-18 01:48 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-18 01:48 UTC,,,,,,,2025-11-18 01:48
2025-11-18 01:48 UTC,GC=F,Gold Futures (GC=F),,2025-11-18 01:48 UTC,4030.300048828125,4030.300048828125,4028.300048828125,4030.199951171875,103,2025-11-18 01:48
2025-11-18 01:49 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-18 01:49 UTC,,,,,,,2025-11-18 01:49
2025-11-18 01:49 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-18 01:49 UTC,,,,,,,2025-11-18 01:49
2025-11-18 01:49 UTC,GC=F,Gold Futures (GC=F),,2025-11-18 01:49 UTC,4030.0,4032.10009765625,4029.300048828125,4030.699951171875,173,2025-11-18 01:49
2025-11-18 01:50 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-18 01:50 UTC,,,,,,,2025-11-18 01:50
2025-11-18 01:50 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-18 01:50 UTC,,,,,,,2025-11-18 01:50
2025-11-18 01:50 UTC,GC=F,Gold Futures (GC=F),,2025-11-18 01:50 UTC,4030.39990234375,4031.10009765625,4029.5,4030.199951171875,153,2025-11-18 01:50
2025-11-18 01:51 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-18 01:51 UTC,,,,,,,2025-11-18 01:51
2025-11-18 01:51 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-18 01:51 UTC,,,,,,,2025-11-18 01:51
2025-11-18 01:51 UTC,GC=F,Gold Futures (GC=F),,2025-11-18 01:51 UTC,4029.699951171875,4030.5,4024.60009765625,4026.699951171875,373,2025-11-18 01:51
2025-11-18 01:52 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-18 01:52 UTC,,,,,,,2025-11-18 01:52
2025-11-18 01:52 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-18 01:52 UTC,,,,,,,2025-11-18 01:52
2025-11-18 01:52 UTC,GC=F,Gold Futures (GC=F),,2025-11-18 01:52 UTC,4026.800048828125,4026.800048828125,4024.0,4025.5,242,2025-11-18 01:52
2025-11-18 01:53 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-18 01:53 UTC,,,,,,,2025-11-18 01:53
2025-11-18 01:53 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-18 01:53 UTC,,,,,,,2025-11-18 01:53
2025-11-18 01:53 UTC,GC=F,Gold Futures (GC=F),,2025-11-18 01:53 UTC,4025.699951171875,4026.199951171875,4023.5,4024.60009765625,250,2025-11-18 01:53
2025-11-18 01:54 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-18 01:54 UTC,,,,,,,2025-11-18 01:54
2025-11-18 01:54 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-18 01:54 UTC,,,,,,,2025-11-18 01:54
2025-11-18 01:54 UTC,GC=F,Gold Futures (GC=F),,2025-11-18 01:54 UTC,4024.699951171875,4024.699951171875,4022.0,4023.5,140,2025-11-18 01:54
2025-11-18 01:55 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-18 01:55 UTC,,,,,,,2025-11-18 01:55
2025-11-18 01:55 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-18 01:55 UTC,,,,,,,2025-11-18 01:55
2025-11-18 01:55 UTC,GC=F,Gold Futures (GC=F),,2025-11-18 01:55 UTC,4024.199951171875,4024.60009765625,4022.10009765625,4022.5,188,2025-11-18 01:55
2025-11-18 01:56 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-18 01:56 UTC,,,,,,,2025-11-18 01:56
2025-11-18 01:56 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-18 01:56 UTC,,,,,,,2025-11-18 01:56
2025-11-18 01:56 UTC,GC=F,Gold Futures (GC=F),,2025-11-18 01:56 UTC,4022.39990234375,4024.10009765625,4021.39990234375,4022.800048828125,219,2025-11-18 01:56
2025-11-18 01:57 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-18 01:57 UTC,,,,,,,2025-11-18 01:57
2025-11-18 01:57 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-18 01:57 UTC,,,,,,,2025-11-18 01:57
2025-11-18 01:57 UTC,GC=F,Gold Futures (GC=F),,2025-11-18 01:57 UTC,4022.699951171875,4024.39990234375,4022.60009765625,4024.300048828125,228,2025-11-18 01:57
2025-11-18 01:58 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-18 01:58 UTC,,,,,,,2025-11-18 01:58
2025-11-18 01:58 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-18 01:58 UTC,,,,,,,2025-11-18 01:58
2025-11-18 01:58 UTC,GC=F,Gold Futures (GC=F),,2025-11-18 01:58 UTC,4024.5,4026.0,4022.89990234375,4023.199951171875,326,2025-11-18 01:58
2025-11-18 01:59 UTC,BTC-USD,Bitcoin / US Dollar,No data found near 2025-11-18 01:59 UTC,,,,,,,2025-11-18 01:59
2025-11-18 01:59 UTC,ETH-USD,Ethereum / US Dollar,No data found near 2025-11-18 01:59 UTC,,,,,,,2025-11-18 01:59
